j_reset_real 0 00100000 B               reset; Branch
j_reset_real 1 00100090 LDR             PC, =init; Indirect Jump
infinite_loop 0 00100020 B               infinite_loop; Branch
sub_100040 0 00100040 B               sub_100040; Branch
temporary_vector_table 0 00100060 B               temporary_vector_table; Branch
reset 0 00100090 LDR             PC, =init; Indirect Jump
reset 1 00100094 MCR             p15, 0, R0,c13,c0, 2; Move from ARM to Coprocessor Register
init 0 00100094 MCR             p15, 0, R0,c13,c0, 2; Move from ARM to Coprocessor Register
init 1 001000ac MOV             R0, #0x100000; Rd = Op2
init 2 001000c4 BIC             R0, R0, #1; Rd = Op1 & ~Op2
init 3 001000dc LDR             R0, =0xA606C; Load from Memory
init 4 00100100 LDR             R0, =dword_205400; Load from Memory
init 5 00100198 LDR             R0, =0x100060; vbase
init 6 001001a4 LDR             R0, =loc_105910; Load from Memory
init 7 00105910 LDR             R0, =off_110000; Load from Memory
init 8 00105970 LDR             R1, [R6,R4,LSL#2]; Load from Memory
init 9 0010597c LDR             R0, =pblStruct; Load from Memory
init 10 00105988 CMP             R5, #0; Set cond. codes on Op1 - Op2
init 11 00105990 MOV             R3, R5; a4
init 12 001059a4 B               loc_1059A4; Branch
init 13 001059a8 ADD             R4, R4, #1; Rd = Op1 + Op2
init 14 001059b4 B               loc_1059A4; Branch
init 15 00100290 B               loc_100290; Branch
init 16 00100258 MOV             R0, #0; Rd = Op2
fake_reset 0 001001b8 ANDEQ           R0, R0, R0; Rd = Op1 & Op2
fake_reset 1 001001cc LDR             PC, =loc_1001D0; Indirect Jump
fake_reset 2 001001d0 MCR             p15, 0, R0,c13,c0, 2; Move from ARM to Coprocessor Register
fake_reset 3 00100294 LDR             R0, =dword_205400; Load from Memory
fake_reset 4 001002a4 BX              R3; loc_108D40
fake_reset 5 001002ec LDR             R0, =unk_205608; Load from Memory
fake_reset 6 00108d40 LDR             R3, =unk_205600; a4
fake_reset 7 00100258 MOV             R0, #0; Rd = Op2
fake_reset 8 00103e8c STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_1001E4 0 001001e4 MCR             p15, 0, R0,c13,c0, 2; Move from ARM to Coprocessor Register
sub_1001E4 1 001002ec LDR             R0, =unk_205608; Load from Memory
sub_1001E4 2 00100294 LDR             R0, =dword_205400; Load from Memory
sub_10020C 0 0010020c MCR             p15, 0, R0,c13,c0, 2; Move from ARM to Coprocessor Register
sub_10020C 1 001002ec LDR             R0, =unk_205608; Load from Memory
sub_10020C 2 00100294 LDR             R0, =dword_205400; Load from Memory
infinite_loop_2 0 00100258 MOV             R0, #0; Rd = Op2
infinite_loop_2 1 00100290 B               loc_100290; Branch
some_stack_arrangements 0 001002a8 STMFD           SP!, {R4,LR}; Store Block to Memory
some_stack_arrangements 1 001002c0 SUB             R0, R0, R2; Rd = Op1 - Op2
some_stack_arrangements 2 001002d8 LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_1002DC 0 001002dc LDR             SP, =unk_2053E0; Load from Memory
set_vbar 0 001002e4 MCR             p15, 0, R0,c12,c0, 0; Move from ARM to Coprocessor Register
sub_1003FC 0 001003fc STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_1003FC 1 00100430 LDR             R1, [R0,#4]; Load from Memory
sub_1003FC 2 0010044c LDR             R3, [R0,#0]; Load from Memory
sub_1003FC 3 0010046c TST             R4, #3; Set cond. codes on Op1 & Op2
sub_1003FC 4 00100488 LDR             R0, [R11,#0x100]; Load from Memory
sub_1003FC 5 00100494 CMP             R9, #0; Set cond. codes on Op1 - Op2
sub_1003FC 6 001004a0 MOV             R2, #4; Rd = Op2
sub_1003FC 7 001004b4 STR             R0, [R11,#0x10]; Store to Memory
sub_1003FC 8 001004c8 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_1003FC 9 001004d8 LDR             R0, [R11,#0x100]; Load from Memory
sub_1003FC 10 001004e4 ADD             R1, R5, R4,LSL#2; Rd = Op1 + Op2
sub_1003FC 11 00100508 LDR             R0, [R11,#0x100]; Load from Memory
sub_1003FC 12 00100514 LDR             R0, [R11,#0x100]; Load from Memory
sub_1003FC 13 00100520 LDR             R0, [SP,#0x18]; Load from Memory
sub_1003FC 14 0010052c ADD             SP, SP, #0x1C; Rd = Op1 + Op2
sub_1003FC 15 0010f0d4 B               loc_10F0D4; Branch
sub_100548 0 00100548 MOV             R1, #0; Rd = Op2
sub_100548 1 0010055c LDRB            R2, [R0,#0]; Load from Memory
sub_100548 2 00100570 CMP             R2, #2; Set cond. codes on Op1 - Op2
sub_100548 3 00100580 MOV             R0, #2; Rd = Op2
sub_100548 4 0010058c LDR             R12, [R0,#0x2D]; Load from Memory
sub_100548 5 001005a4 ADD             R5, R0, R1,LSL#2; Rd = Op1 + Op2
sub_100548 6 001005c0 STR             R2, [R12,#0x300]; Store to Memory
sub_100548 7 001005f4 AND             R1, R0, #0xF; Rd = Op1 & Op2
sub_100548 8 00100604 MOV             R0, #1; Rd = Op2
sub_100548 9 0010060c LDR             R0, [R12,#0x100]; Load from Memory
sub_100548 10 0010061c MOV             R0, R4; Rd = Op2
sub_100634 0 00100634 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_100634 1 00100640 LDR             R1, =0x73A000; Load from Memory
sub_100634 2 00100654 BX              LR; Branch to/from Thumb mode
sub_10065C 0 0010065c CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_10065C 1 00100670 CMP             R3, #6; switch 6 cases
sub_10065C 2 0010067c B               loc_1006AC; jumptable 00100678 default case
sub_10065C 3 00100698 MOV             R2, #0xD; jumptable 00100678 case 2
sub_10065C 4 001006a0 MOV             R2, #0xE; jumptable 00100678 case 3
sub_10065C 5 001006a4 STR             R2, [R1,#0]; jumptable 00100678 cases 0,1,4,5
sub_10065C 6 001006a8 BX              LR; Branch to/from Thumb mode
sub_10065C 7 001006ac MOV             R0, #1; jumptable 00100678 default case
sub_1006B4 0 001006b4 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_1006B4 1 001006d8 B               loc_100834; jumptable 001006D4 default case
sub_1006B4 2 001006fc CMP             R3, #0; jumptable 001006D4 case 1
sub_1006B4 3 00100708 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1006B4 4 00100718 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_1006B4 5 0010071c CMP             R1, #0; jumptable 001006D4 case 2
sub_1006B4 6 00100724 CMP             R2, #0x35; Set cond. codes on Op1 - Op2
sub_1006B4 7 0010072c MOV             R0, R1; Rd = Op2
sub_1006B4 8 00100738 CMP             R3, #0; jumptable 001006D4 case 3
sub_1006B4 9 00100740 CMP             R12, #0x35; Set cond. codes on Op1 - Op2
sub_1006B4 10 00100748 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1006B4 11 00100750 LDRB            R2, [R3,#0]; Load from Memory
sub_1006B4 12 0010076c LDR             R2, =0x73A000; Load from Memory
sub_1006B4 13 00100780 ADD             R12, R2, R1,LSL#2; Rd = Op1 + Op2
sub_1006B4 14 0010079c MOV             R1, #0x35; Rd = Op2
sub_1006B4 15 001007a4 CMP             R1, #0; jumptable 001006D4 case 4
sub_1006B4 16 001007ac CMP             R2, #8; Set cond. codes on Op1 - Op2
sub_1006B4 17 001007b4 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1006B4 18 001007bc MOV             R0, R1; Rd = Op2
sub_1006B4 19 001007c8 STR             R1, [R4,#0]; Store to Memory
sub_1006B4 20 001007d0 CMP             R1, #0; jumptable 001006D4 case 5
sub_1006B4 21 001007d8 CMP             R2, R5; Set cond. codes on Op1 - Op2
sub_1006B4 22 001007e4 B               loc_100834; jumptable 001006D4 default case
sub_1006B4 23 001007e8 CMP             R3, #0; jumptable 001006D4 case 6
sub_1006B4 24 001007f0 CMP             R5, R12; Set cond. codes on Op1 - Op2
sub_1006B4 25 001007f8 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1006B4 26 00100808 B               loc_100834; jumptable 001006D4 default case
sub_1006B4 27 0010080c CMP             R1, #0; jumptable 001006D4 case 7
sub_1006B4 28 00100814 CMP             R2, #0xC; Set cond. codes on Op1 - Op2
sub_1006B4 29 0010081c CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1006B4 30 00100824 MOV             R1, #0xC; Rd = Op2
sub_1006B4 31 00100834 MOV             R0, #1; jumptable 001006D4 default case
sub_1006B4 32 00100548 MOV             R1, #0; Rd = Op2
sub_100840 0 00100840 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_100840 1 0010084c LDR             R1, =0x73A400; Load from Memory
sub_100840 2 0010085c BX              LR; Branch to/from Thumb mode
